scene_id,im_id,obj_id,score,R,t,time
5,0,5,0.9999274015426636,-0.7565529839870779 0.28273719742169556 0.5896501162675822 -0.3618136906256204 -0.9320900870708232 -0.01728938576621164 0.5447186757364906 -0.2264238211373312 0.807473725594495 ,54.32066144264126 -63.49938035602608 279.36916695301096 ,2.235414505004883
5,0,5,0.9998530149459839,0.21296031949420424 0.9650812220392635 0.1525324135655378 -0.9173026084740218 0.14372523224153977 0.3713475220112164 0.3364577637797674 -0.21900066777139576 0.9158792937434501 ,178.08512827756442 -138.58548686588193 469.8412962934029 ,2.235414505004883
6,0,6,0.9997047185897827,0.5706200411019653 0.6317226437585163 -0.5247087478359228 0.515433238816707 -0.7729224261917425 -0.37002634961957703 -0.639313182263365 -0.05930787850379535 -0.766655874908468 ,-137.94031643453118 100.39471932055118 452.3699849969348 ,2.235414505004883
6,1,6,0.9999247789382935,0.5958157884137301 -0.7319476243422429 0.33053928888510675 -0.7400670763083267 -0.3405259510838546 0.5799506868716354 -0.3119363217731636 -0.590165020869742 -0.7445810763781513 ,107.11909054267483 -8.202708761385836 261.77857235903167 ,0.03009510040283203
6,1,6,0.9998369216918945,0.2900976246298217 -0.9117544444561931 -0.2907700142698927 0.9525299959698199 0.24577039866321287 0.17967614732807474 -0.09235786356271841 -0.32909078406315784 0.9397708661598457 ,-32.14216697751527 -112.63355074188607 381.0435330458884 ,0.03009510040283203
6,1,6,0.9997714161872864,-0.7035441009087107 0.183431565417502 -0.6865701412711152 -0.2458189097788918 -0.9692899881157905 -0.007069832643544549 -0.6667823945423809 0.16379798456322756 0.7270292006387045 ,51.91919594737928 35.85927516279487 123.42699711086512 ,0.03009510040283203
5,1,5,0.9957529306411743,0.4424904741013546 -0.6360575687330529 0.6321652866038726 -0.06440353239787419 0.6805735054067561 0.7298437426963639 -0.894457581634945 -0.36366258124222495 0.260182938833444 ,80.81322410322204 -127.94730175045785 466.7840817235134 ,0.03009510040283203
1,2,1,0.9996494054794312,0.014368252183015434 0.9652783970119854 0.2608278543238377 -0.9159943429032513 0.11730317974115226 -0.38365912968656907 -0.400933806380113 -0.23340432790457594 0.885874992658088 ,-112.91188911336998 -71.49470570531999 270.93593739393106 ,0.7625732421875
3,2,3,0.9976807832717896,-0.5735321406360213 0.8162028653518262 0.06981236458487759 -0.7943177079152063 -0.5332622371275657 -0.29101677846137497 -0.20030043072793483 -0.22236067333315185 0.9541674215802126 ,0.35607243089303153 -136.7585951911314 405.08344806617043 ,0.7625732421875
3,2,3,0.9885846972465515,-0.35853505908460875 0.9272407597644035 -0.10806102367980798 -0.8753884148958921 -0.37415896479046823 -0.30610487113566576 -0.32426491403365476 -0.0151539598276179 0.9458449254652104 ,-42.5850942811181 -114.09817937559976 354.84967993669795 ,0.7625732421875
1,2,1,0.785804033279419,0.009824925308290749 -0.9228169655031345 0.3851133846314265 -0.999674733481518 0.0 0.02550347503097375 -0.023535039437868156 -0.385238689878868 -0.9225168040415692 ,-273.90640035233383 -101.95893497711528 648.1565431477107 ,0.7625732421875
1,3,1,0.9996519684791565,0.041394251437708474 0.6366870883566977 0.7700104333499529 0.947636103627501 -0.269266524092074 0.1717013514945669 0.31665806645275923 0.7225822378963125 -0.6144937578423045 ,-144.23784444476144 -66.02310693748251 375.92019423692 ,0.01934218406677246
1,3,1,0.9992699027061462,-0.2453089594965115 0.9176735319711411 -0.31256807756127325 0.927210040511049 0.3162223131757613 0.2007112090175085 0.2830283645966215 -0.24058000201467702 -0.9284482793696051 ,210.97006195687973 169.49343911250583 516.3103039427203 ,0.01934218406677246
1,3,1,0.7763037085533142,0.17261664429439347 -0.9807314743701361 -0.09148371052991992 -0.3621246706517298 0.023186315954529125 -0.9318412513179661 0.9160072145010208 0.1939798183632413 -0.35114471810045056 ,710.0991886769688 -888.0342689877086 2576.871233152532 ,0.01934218406677246
6,4,6,0.9998871088027954,0.117166265658794 -0.08459669067402532 0.98950263573099 -0.7330259576436089 -0.6795951039586491 0.02869564594329231 0.6700335899134034 -0.7286932788234265 -0.14163719068564237 ,63.72037552931412 -106.49492925800247 303.1308732680563 ,0.03103947639465332
6,4,6,0.9998376369476318,-0.6735760170935694 0.4976535113352773 -0.5464762866328533 -0.6893232739998202 -0.15618145927265342 0.7074183880149238 0.26669978087454865 0.8531988832828683 0.4482442330318754 ,37.05121542563532 -146.97602846690563 477.73033925421305 ,0.03103947639465332
6,4,6,0.999555230140686,-0.43174452590901763 0.8242021051704679 0.3664526629459342 0.24299168889903638 0.4975268501740039 -0.8327196842166805 -0.8686493558816418 -0.27047721380645573 -0.4150787555848954 ,36.603408756568136 -17.894955114218334 71.43706940811397 ,0.03103947639465332
6,4,6,0.9995442032814026,-0.4321558924320338 0.8003783488792545 -0.41549462485282596 0.2419624579253085 -0.34093393624336044 -0.9084152244829187 -0.8687320954074481 -0.4931110927194058 -0.04632490308740897 ,34.52367198055616 -16.79230821994113 67.33827718008098 ,0.03103947639465332
6,4,6,0.9955270290374756,-0.7215397899470083 0.4183935575263746 -0.5516585561229441 0.24263872127805322 -0.5934361390589671 -0.7674372937219937 -0.6484649431232026 -0.6875902703494361 0.32666930933439553 ,122.58472499161235 -87.0640371000057 375.46030818297737 ,0.03103947639465332
5,5,5,0.9999033212661743,0.6711345148002806 0.7008297486023718 -0.24169428317138164 0.6406950288838171 -0.7123466247436134 -0.2864824011696813 -0.3729454960277124 0.037415901570291676 -0.9270985423903576 ,-172.1273495923116 58.73167770528904 442.58304313110085 ,0.019106626510620117
5,5,5,0.9998248815536499,-0.5665918291216213 -0.8152741750976739 0.11958979300685628 -0.8239699914433946 0.5617827999357016 -0.07398336905802406 -0.006866758579395366 -0.14045677311974247 -0.990062999263886 ,-128.0374499382663 80.23087408157726 498.50528498671605 ,0.019106626510620117
1,5,1,0.9995633959770203,-0.7881267967041163 -0.3917023372035505 0.47478988125926236 -0.6081013730061013 0.37616681024399606 -0.6990788589415015 0.09523062776755495 -0.8396831604242957 -0.5346618722471839 ,226.67495935063963 -83.28494901393447 531.6310965171324 ,0.019106626510620117
5,6,5,0.9999048709869385,0.3447462460058148 -0.6264762722075122 0.6990547233413684 -0.937662057257377 -0.2647689827705299 0.2251382955930022 0.04404420784577143 -0.7330926722615891 -0.678701143089947 ,-113.28245406044029 85.7592516384107 245.78068878461804 ,0.03238940238952637
5,6,5,0.9998332262039185,-0.4550851669623531 0.33312630071235844 0.825787114566791 0.10953655286220498 -0.8993973207816988 0.42318577830282433 0.8836850312175218 0.2830394445027074 0.3728128732456626 ,29.950740324384967 -163.06333050247312 509.9406622791749 ,0.03238940238952637
5,6,5,0.9936872124671936,0.3105336831157595 -0.9473740613184506 0.07778958536684662 -0.43979700367985086 -0.07064330718544197 0.8953145361849815 -0.8427024547281123 -0.31223694703043736 -0.4385893998996391 ,-282.4072935567899 -115.08007816821637 783.8913539732876 ,0.03238940238952637
5,6,5,0.9231200218200684,-0.953564184254612 0.10417218718551102 -0.2826013126717978 0.24309884173271457 0.8201373415617366 -0.5179553012801973 0.1778153526978169 -0.5626036761282621 -0.8073777331286246 ,-188.40829642054092 -79.65610025873227 530.4801977552885 ,0.03238940238952637
1,6,1,0.892478346824646,0.9395563231067012 -0.3423202292987031 -0.007125750704272249 0.0 0.02081152901799682 -0.9997834166757983 0.3423943862130571 0.939352830874968 0.01955360368237751 ,-198.57939094006576 -59.661997680636716 541.6410111621228 ,0.03238940238952637
6,7,6,0.999934196472168,0.9716675335794104 0.234771331832975 0.02728783496499098 0.011254642077224309 0.06936369798118491 -0.9975279497007031 -0.236083750434923 0.9695726373778016 0.06475618602755168 ,124.62911581576901 58.520788679478486 289.907185899426 ,0.01895761489868164
5,7,5,0.9997166395187378,-0.9396225392571256 -0.11421485092793508 0.3225902223371024 0.016764382128485716 -0.956891231370636 -0.2899622851645328 0.34180175425506776 -0.2670470729169247 0.9010313100190588 ,-135.54366976101784 -113.7996825107023 415.7540895983677 ,0.01895761489868164
1,7,1,0.9742861390113831,-0.0460254283058109 0.9674114186639858 0.24899158015443146 -0.9743053643005661 0.01154024921062849 -0.22493527900997942 -0.22047838226095395 -0.2529465747676585 0.9420229897772674 ,-129.26917277630767 -94.04265046332557 284.35971408662743 ,0.01895761489868164
5,8,5,0.9999079704284668,0.5951085573776855 -0.6924886680019486 -0.40780540656633896 0.17071662227320344 0.6047950711471591 -0.7778680844434558 0.7853035335559612 0.39329679200953277 0.4781380486632831 ,60.585826049426444 3.9429279946078566 458.73481700161074 ,0.025442123413085938
5,8,5,0.999897837638855,-0.42450446414618104 0.8846129376358808 -0.193017901986269 0.34558136107049947 0.3553401628893916 0.8685084291579453 0.8368808056113036 0.30198231604674797 -0.45654922844575857 ,-17.174809834002364 -44.34038501645615 295.9452992801105 ,0.025442123413085938
6,8,6,0.9986533522605896,-0.8111574243336708 -0.4526372942768352 0.37032838505589977 0.002438597638096146 0.6306029754032322 0.77610175921341 -0.584822781866374 0.6304437859494976 -0.5104144850684973 ,-154.38389748252277 -122.34007143814328 351.9321709267855 ,0.025442123413085938
1,8,1,0.8863520622253418,-0.03940839926717978 0.1617804509231841 0.9860395852937596 0.9959390840166639 -0.07358100527549435 0.05187655145338757 0.0809463958138152 0.9840797332339178 -0.15822376446986172 ,104.3782771997079 -119.729372605737 1025.310903365654 ,0.025442123413085938
5,9,5,0.9999281167984009,-0.28401270501612996 0.5704295208379125 0.7706795346614896 0.8832460949080199 0.4684293982322826 -0.021218734681277406 -0.3731127433084451 0.6746732991814418 -0.6368695472013679 ,11.796625632891464 32.98309860629657 354.0767151507144 ,0.027092456817626953
5,9,5,0.9999114274978638,0.6091937159900003 -0.7797555811151111 0.14444462647717493 -0.014985681704869053 -0.19343146676198963 -0.9809993358866997 0.7928798431932392 0.5954540296161752 -0.12952240297231893 ,202.71103958207235 -71.24362187452051 593.1111246492939 ,0.027092456817626953
5,9,5,0.9998420476913452,-0.4782631299538505 -0.40428649515789455 0.7796260695741852 0.637293225354235 -0.7705729309703617 -0.00864308818320178 0.6042530293216102 0.4927167420422124 0.6261856662899314 ,103.05094569037122 164.38940240845002 573.2999143127806 ,0.027092456817626953
1,9,1,0.9997596740722656,0.07260021461350322 0.9457831644495469 -0.31658081856277176 -0.9618493020499558 -0.01755287085790624 -0.2730161476372017 -0.26377097828246004 0.32432407028841853 0.9084265344250281 ,-144.1901888176385 45.160151480069985 327.62997919627236 ,0.027092456817626953
5,10,5,0.9997310638427734,-0.1837752962824022 0.8611411441729305 0.47398583342632844 0.8637371357417618 0.37165649470719647 -0.3403374946763536 -0.469238532962642 0.3468535422256714 -0.8121008677674048 ,43.15552952909784 -252.56931518588306 655.8051783159623 ,0.02496337890625
6,10,6,0.9997181296348572,-0.06758502875483982 -0.6758054861028874 0.7339749374750119 0.26738324995715956 0.6964780939408549 0.6659012406527419 -0.9612171770887964 0.24125755866657073 0.13362757520695934 ,8.931772193244013 -33.965878806103 122.40553641457548 ,0.02496337890625
