scene_id,im_id,obj_id,score,R,t,time
5,0,5,0.9992530941963196,-0.8502957764229876 -0.21094703302061285 0.48218092232794657 0.3518891948337784 -0.9091393739131244 0.2227994464986111 0.3913707796405653 0.3591196848693381 0.8472673514203667 ,40.814999985039314 23.9992065107479 386.10445901593226 ,4.472726345062256
6,0,6,0.9945765733718872,-0.9573720044075161 -0.288743746664052 0.008117508185450872 -0.26461895464594554 0.8654214935620744 -0.42546732814973676 0.11582596435524341 -0.40947855529098776 -0.9049373783516645 ,38.679155504570375 -92.40276182907768 286.2970672245657 ,4.472726345062256
1,0,1,0.8512843251228333,-0.23377252650485447 -0.9718079298225555 -0.03065539733123757 0.17589978324982875 -0.011262607276724729 -0.9843436493064776 0.9562477043654537 -0.23550477959338578 0.1735736923743642 ,-47.62562630830551 57.967635319079264 263.3564974351194 ,4.472726345062256
5,1,5,0.9995288252830505,-0.4542827048941484 0.20005299015581277 -0.8681048468726427 -0.024596775124975684 -0.9769048954232071 -0.21225414943322998 -0.8905179519175946 -0.07507080942610664 0.44871165672913127 ,-23.593676945195458 -53.394044093844876 282.25268895942713 ,4.269057989120483
6,1,6,0.9931172728538513,-0.8144789741699641 0.18199122221223438 -0.5509112411929347 0.4709624284903196 0.7619342262642739 -0.44457915582892904 0.3388486263592391 -0.6215588708117356 -0.7062904349697064 ,93.6286453261605 33.57819860257011 275.4474162013165 ,4.269057989120483
6,2,6,0.9938488602638245,-0.9633133487095471 0.19042530905195768 0.18911793640600255 0.11954095154559696 0.9353509622701511 -0.332909204264279 -0.24028598190816644 -0.29808854230374016 -0.9237996903255922 ,6.881671153854848 -49.36055898992052 140.5868172384737 ,2.956987142562866
6,2,6,0.9936892986297607,-0.010087350292426505 -0.7596669930305839 -0.6502340386844944 -0.990360950836267 0.09742422508540405 -0.09845662712683864 0.1381427972163685 0.6429732343312428 -0.7533272778221017 ,-52.498524224967625 -64.43981082191934 218.27853331198503 ,2.956987142562866
6,2,6,0.8582161664962769,-0.0515790060457653 -0.6877719124024626 0.7240921230379394 0.06336750570242687 0.7213422341379429 0.6896737927962278 -0.9966564931591947 0.08145660046393152 0.006376275125465278 ,20.431741427679505 -25.017535692450377 394.0072545950726 ,2.956987142562866
6,3,6,0.9294967651367188,-0.027148699301766673 0.9353229815392609 -0.35275185092459804 0.05918566114272244 -0.3507588612878645 -0.9345936436458037 -0.9978777508499331 -0.0462508533169738 -0.0458350621918492 ,13.545494697054028 -29.46725532266792 497.00549807952876 ,1.4204468727111816
5,4,5,0.999843955039978,0.3910525726475334 -0.035186281231802084 -0.919695499085878 0.1130878640246139 0.9935339249217954 0.010073482011832866 0.91339423056865 -0.10794566060091909 0.39250313874074305 ,-43.64058633170403 -14.62469633144957 276.8269240613046 ,7.639892578125
6,4,6,0.980956494808197,-0.4620039676905821 0.09690260744968389 -0.8815680453076846 0.8306031088292464 0.3957190672645593 -0.3917970079090169 0.3108871329620296 -0.913244931260349 -0.26331138616841027 ,18.892008763854236 -82.535872892855 287.17995901854084 ,7.639892578125
3,4,3,0.9120737314224243,0.36147791012434993 -0.8374081939026228 -0.409977117991821 -0.013564538499879542 -0.44438668982704693 0.8957323669488813 -0.9322819979960021 -0.3182263136343492 -0.17199502761206537 ,-79.45348535055078 99.00073577593317 473.85822568507086 ,7.639892578125
6,5,6,0.997562825679779,0.0441024564990369 -0.8377265034408936 -0.5443062361974597 -0.9816293868849624 0.06489904454354566 -0.179420904080844 0.18563060128815806 0.5422198995334173 -0.8194747466611573 ,30.3506086025774 38.61590934711699 287.4810511788678 ,6.847513675689697
6,5,6,0.9517266750335693,-0.25496510072054895 -0.6337867686573322 0.7302788024374374 -0.9627010878769577 0.09565748006206042 -0.25309338574664225 0.09055060913700366 -0.7675701781486002 -0.6345365307071327 ,-14.917251668517787 -19.89131691758619 135.3328379492336 ,6.847513675689697
6,5,6,0.7635104060173035,-0.31983848339835497 0.2310276848453413 -0.9188740682881643 -0.052984896699070264 -0.9726601442014857 -0.2261080374593831 -0.9459894001833368 -0.023631604197484772 0.32333512339958426 ,-15.269282492724294 14.859247770963146 112.87069770319975 ,6.847513675689697
6,6,6,0.9976800680160522,0.8461492443349239 -0.4942840043390198 -0.19928567275652553 0.5113404488499517 0.6475612000226183 0.5649738379741107 -0.15020786158309754 -0.5799550114274821 0.8006808246978208 ,38.3128919173678 53.73047633056031 288.36567144399925 ,1.2078924179077148
6,6,6,0.9505345821380615,0.8860234451185691 -0.3032007547561456 0.3507588302744856 0.42340608075936537 0.22087884950212514 -0.8786010611299141 0.1889172979804009 0.9269745606854165 0.32408088244428 ,10.950199836989361 -5.95424779179495 136.12650681363226 ,1.2078924179077148
1,7,,,,,2.077268362045288
6,8,6,0.7601271867752075,-0.6248145693578525 -0.7618392022224165 0.17090284923099866 0.7795189645073441 -0.6210851856947601 0.08126115974992684 0.044237290734845836 0.183995168598573 0.9819311788719326 ,-40.6347853150033 -16.461345897308597 154.3845073328191 ,1.55739164352417
5,9,5,0.9998217821121216,-0.24309507268933703 0.17996729242281395 -0.9531613500830631 -0.11133681529505797 -0.9813205756479928 -0.1568886272801383 -0.9635916662124681 0.06798309692779059 0.25859118186432145 ,-50.710407149941844 -23.663618847694107 281.391008512576 ,3.7554948329925537
6,9,6,0.9972842931747437,-0.2756592686655613 -0.4097614516121827 0.8695444326608301 0.956696377855575 -0.2049473248346655 0.20670905795619385 0.09350940164919722 0.8888712768538486 0.44851292622110484 ,-96.707507403954 -28.771536468352995 289.11599701538194 ,3.7554948329925537
3,9,3,0.9758257269859314,-0.23914830150055982 -0.020648283915187318 -0.9707634821421514 -0.946674078702707 0.22726821556049862 0.2283798303448172 0.21590803274028061 0.973613273619102 -0.07389800288855825 ,-47.76921156544117 54.83364864979227 423.7063344827609 ,3.7554948329925537
1,10,1,0.8304139375686646,-0.3896552349088387 0.9038265297742233 0.17682308102853272 0.38916372047782877 -0.01242425796477422 0.9210848150294735 0.8346977875686459 0.42771864805069 -0.3468953178376696 ,-82.19461991268173 -29.078549647083456 299.59434613144634 ,2.8541109561920166
1,10,1,0.7955679297447205,0.8394255825849284 0.519889680316225 -0.15836480544188797 0.543036741657083 -0.8140455134128161 0.20601213387303932 -0.021812576931944674 -0.25892976343626106 -0.9656498273672657 ,60.43346695572728 -5.596589458444328 561.7194205941165 ,2.8541109561920166
6,11,6,0.9834386706352234,-0.8446951948632568 0.3541953964692781 -0.4012924730105154 -0.32494557929332446 0.25641286166938576 0.910309186413189 0.4253238745622565 0.8993320107115541 -0.10149648386452882 ,47.20120790377917 -102.99789410161272 263.3006415139506 ,1.55861496925354
6,11,6,0.8805966377258301,-0.7823099436777631 0.14128609251069918 -0.6066542607498553 -0.33655911957700513 0.7236503888987897 0.6025430056653065 0.5241365385588437 0.6755504087110663 -0.5185677720779273 ,66.70868533519364 -147.9937337957351 379.57553497779224 ,1.55861496925354
6,11,6,0.8200585842132568,-0.9775851860706375 -0.1723637786922687 0.12090463915896615 0.19281842135847668 -0.5023503455481894 0.8428909696469881 -0.08454738529405934 0.8473103670571589 0.5243251677322007 ,33.10632487838812 39.320591237435835 339.8492181580911 ,1.55861496925354
3,11,3,0.8114823698997498,0.6236885761689194 -0.7248306688733043 -0.2926312721105943 -0.776079218458965 -0.6189025243856784 -0.12108142708589588 -0.09334670124063502 0.30262215181594593 -0.9485284532357363 ,132.34364688824286 51.94099403041811 425.81957834857764 ,1.55861496925354
