scene_id,im_id,obj_id,score,R,t,time
3,0,3,"tensor(0.73431, device='cuda:0')",-0.9048147364758861 -0.1090014063828634 -0.41161752399846985 0.2729694807570793 -0.8903980830640973 -0.3642511719280961 -0.326799564307059 -0.44193884993552984 0.8353993641883967 ,-68.04464226994024 174.01832578563454 720.4703654590356 ,0.5228118896484375
5,1,5,"tensor(0.93946, device='cuda:0')",0.6612541570879455 0.7350674870571539 -0.14972885228102073 -0.7209990419267666 0.5676480265978692 -0.39741175050598293 -0.20713116924933234 0.37074453114108874 0.9053425712703334 ,120.40345901840182 -6.961411168013136 300.73540012279165 ,0.367032527923584
3,2,3,"tensor(0.88385, device='cuda:0')",-0.547597734843381 0.835739447553926 -0.04094260124438377 -0.7964024532298386 -0.5355833572534241 -0.28088004543335904 -0.2566707098285524 -0.12120248856937509 0.9588691795446852 ,-44.80248900789432 -120.53480950426432 369.92841139831506 ,0.34021782875061035
1,2,1,"tensor(0.61762, device='cuda:0')",-0.013148528018584404 0.8477202731224658 0.5302805434372603 -0.8956797476454064 0.22576801868479637 -0.3831273827292988 -0.44450523716690427 -0.47999910445365734 0.7563173631848479 ,-154.2644152477953 -75.32055525666375 298.3840217797413 ,0.34021782875061035
1,3,1,"tensor(0.95103, device='cuda:0')",0.6815461875185624 -0.48493455317049705 -0.5480267086741695 -0.7309651324466535 -0.41592282044634865 -0.5410158801543639 0.0344204797491095 0.769315726196524 -0.6379408624634074 ,154.11044040568677 141.7510636128558 373.52306777141894 ,0.03466939926147461
1,3,1,"tensor(0.93029, device='cuda:0')",-0.17208966464407413 0.7152622491685181 0.6773367421283769 0.9642827605981913 -0.018232371905510386 0.2642467374024336 0.20135517111765872 0.6986182759770119 -0.6865774534130045 ,-141.39715861095445 -72.50092093704112 369.34076878064957 ,0.03466939926147461
1,3,1,"tensor(0.66543, device='cuda:0')",0.12112868438009165 0.9801154657706134 -0.15716715807573228 0.7617911504214748 0.009723570953066292 0.6477497165630004 0.6363977411649688 -0.1981896211338393 -0.7454654848582534 ,445.64870734588806 -626.3150629661591 1649.427418766703 ,0.03466939926147461
5,3,5,"tensor(0.51684, device='cuda:0')",-0.3611606500907133 -0.626220798646741 0.6909489823194556 0.06867074919882733 0.7210886182501743 0.689431311179385 -0.9299716732409246 0.29644344481248386 -0.21742578273328747 ,181.794455585065 -32.14561312138854 467.00712965358963 ,0.03466939926147461
5,4,5,"tensor(0.95652, device='cuda:0')",-0.673614104478157 0.497671144805127 -0.5464132775440627 -0.6895219596680092 -0.15699842788955623 0.7070438181441062 0.2660892808507679 0.8530386423067611 0.4489115384435547 ,38.133402346068735 -151.6531714944471 491.3233746061123 ,0.011139869689941406
1,5,1,"tensor(0.97153, device='cuda:0')",-0.7881231955653563 -0.3926695575644347 0.4739962522784353 -0.6079955057477093 0.37661570907519726 -0.6989292329473517 0.09593379801945731 -0.8390299316710563 -0.5355609023795749 ,229.2823546356025 -84.21239205661749 535.8518727788584 ,0.3624279499053955
4,5,4,"tensor(0.94847, device='cuda:0')",0.2805485199823376 0.6706386985111229 0.6866849816291507 0.26180810400534277 -0.7417552165641694 0.6174590799210663 0.9234441210018327 0.0065524620677605006 -0.38367697432606396 ,-183.61179930830676 63.29507399938185 472.6552849112398 ,0.3624279499053955
4,5,4,"tensor(0.85932, device='cuda:0')",-0.5754022110216062 -0.8126836153544258 0.09196541135615482 -0.7756785567569662 0.5066081006163046 -0.3763920947328331 0.25929726596876557 -0.2879124410726289 -0.9218846750742324 ,-98.7842198848055 61.05611592628574 386.22481321405127 ,0.3624279499053955
3,5,3,"tensor(0.78875, device='cuda:0')",-0.9856176103274701 -0.15460127932254394 0.06823760432635553 -0.033517660147260396 -0.21693085336654053 -0.9756113833468311 0.16563360972526156 -0.9638669250936549 0.20862899616276376 ,136.17114450353614 91.38613886381947 406.17467699766377 ,0.3624279499053955
4,5,4,"tensor(0.54142, device='cuda:0')",0.5541821424775755 0.7722466051716751 -0.31067238976096206 0.8298952627815757 -0.5414982915793585 0.1343631386554196 -0.06446709060957867 -0.3322871965897257 -0.9409724827065228 ,-105.32015528952626 48.01400897675867 302.39623545118957 ,0.3624279499053955
4,6,4,"tensor(0.94965, device='cuda:0')",0.31030467575151693 0.3415098150567035 -0.8871764505591219 -0.19955138823270838 -0.8890513079918437 -0.41202793013628425 -0.9294569660081874 0.30489148557794776 -0.20772802016321035 ,28.206124392654186 -154.72083995858924 484.96083470449145 ,0.01793694496154785
1,6,1,"tensor(0.90740, device='cuda:0')",0.940503082997081 -0.3397014961958961 -0.007539519563961726 0.0 0.022189078820529312 -0.9997537920813785 0.3397851539914388 0.9402715236905591 0.02086889703957305 ,-188.13367895197948 -56.3018348893504 517.6891354444299 ,0.01793694496154785
