scene_id,im_id,obj_id,score,R,t,time
1,0,1,"tensor(0.94423, device='cuda:0')",0.9775565814295487 -0.2034291399185434 0.054769655246090745 0.00873080846567095 -0.22063198116648475 -0.9753180516478138 0.21049204993849457 0.9539067637450495 -0.21390414440617236 ,-166.61930626380837 -183.9148952256565 624.2051183355368 ,0.8191494941711426
3,0,3,"tensor(0.78371, device='cuda:0')",-0.844914753432183 0.22824887866628488 0.4837576963937804 -0.40767999510146896 -0.8602761648078762 -0.3061403956643397 0.346289013725096 -0.4558808722144808 0.8199125254088173 ,331.26375321431715 -201.428356145631 646.7482149099651 ,0.8191494941711426
1,0,1,"tensor(0.63399, device='cuda:0')",0.005064784780342335 -0.4420802987649394 0.8969611794269754 0.993733356704816 0.10238396117015694 0.04485019807410632 -0.11166182752985725 0.8911130870652779 0.43982849195303697 ,-469.9249887133838 24.402956089840806 955.2526607623172 ,0.8191494941711426
1,1,1,"tensor(0.96509, device='cuda:0')",-0.6357643089767131 0.7385651773695624 0.22433283800734408 0.7702768661274351 0.6257961554615479 0.12268953222848106 -0.04977241143705732 0.2508000211056871 -0.9667585305923745 ,80.77865583541345 132.6727436459965 501.0990438339707 ,0.36597561836242676
4,1,4,"tensor(0.91647, device='cuda:0')",0.26558044917582013 0.6217296532217099 0.7368305526512742 0.9602668437717758 -0.23857588317499812 -0.1448072398737768 0.08575904481838352 0.7460119209986406 -0.660387461994666 ,120.97689353327463 -154.53227228154648 465.8174530171098 ,0.36597561836242676
1,2,1,"tensor(0.95967, device='cuda:0')",-0.2446882030749965 -0.10296949385496683 -0.964118751301509 -0.49691131003537314 0.8671544885463733 0.033499894817847715 0.83259043546924 0.4872785408050816 -0.2633491796759807 ,101.43170673469965 7.221773490009893 496.49127791054406 ,0.008958101272583008
1,3,1,"tensor(0.97214, device='cuda:0')",0.494943656604555 0.19100936800677004 0.8476710435779711 -0.7728706241649294 -0.34906936877322237 0.5299260081248857 0.3971168280113859 -0.9174235647278296 -0.025144140316521513 ,61.98267096806964 -61.89971193856603 281.6339338609491 ,0.018632888793945312
4,3,4,"tensor(0.95619, device='cuda:0')",0.30786823896502663 0.4311518666115112 0.8481304235516982 0.4629057916754883 0.710925805131896 -0.529436235660967 -0.8312252254773448 0.5556010866754807 0.019288779514584353 ,-92.67475624145462 90.76567125158032 295.81846331515555 ,0.018632888793945312
1,4,1,"tensor(0.95835, device='cuda:0')",0.7179142033982366 -0.38434566088743394 -0.5804115863041304 -0.6539001301958112 -0.6583110337528686 -0.37288229050081045 -0.2387756610062602 0.6472287043976274 -0.7239345190794485 ,168.96818035240855 42.147700724656254 378.64294963807487 ,0.017506837844848633
1,4,1,"tensor(0.89918, device='cuda:0')",0.9561855921567504 -0.28883345626323664 -0.0477948521796801 -0.005728613921329212 0.14476499441837645 -0.9894494829821215 0.29270513547661725 0.9463711380500149 0.13676758655300875 ,-169.62023412038477 39.513806758794246 483.76653628644164 ,0.017506837844848633
