scene_id,im_id,obj_id,score,R,t,time
3,0,3,"tensor(0.73431, device='cuda:0')",-0.3717692990350366 -0.9241121286829437 -0.08834229969881957 0.8938034842820973 -0.3820299431822795 0.23487965854310802 -0.25080454497512644 0.008360390733861814 0.9680016446714318 ,-57.11405386916038 146.99270717604182 608.3136672513424 ,0.49125051498413086
5,1,5,"tensor(0.93946, device='cuda:0')",0.6565778652638502 0.7521873579156262 -0.055854144317814214 -0.7209881156570245 0.6041424250400379 -0.33939367605787146 -0.2215437742905416 0.2631085495734644 0.9389846895527367 ,120.40345901840182 -6.961411168013136 300.73540012279165 ,0.3461794853210449
3,2,3,"tensor(0.88385, device='cuda:0')",0.9001786204083021 -0.43349184575024774 0.04199132086335752 -0.12321089952627742 -0.3459558053106395 -0.9301256124899436 0.4177290097631856 0.8321054022417536 -0.36483293979896897 ,-43.61142496455124 -117.67937725339628 360.171492324956 ,0.3215367794036865
1,2,1,"tensor(0.61762, device='cuda:0')",-0.1305147345014317 -0.4918006660498682 0.8608704948776713 0.9818350553475637 -0.18472393313024293 0.043324272867989 0.13771647747697893 0.8508872859561363 0.5069763292595949 ,-236.93325409733103 -107.36956884360674 399.08561557851857 ,0.3215367794036865
1,3,1,"tensor(0.95103, device='cuda:0')",-0.5164237242125571 0.8558671821163069 0.028247188297686465 0.8530498471157653 0.5170495094612417 -0.07046817084087259 -0.07491658965944623 -0.0122951755652983 -0.997114002133967 ,173.90914705395218 157.0943455961523 424.32009204506977 ,0.029986143112182617
1,3,1,"tensor(0.93029, device='cuda:0')",-0.08621217792919772 -0.4154090342915698 0.9055400568752603 0.9929554909551154 -0.1099830913357681 0.044080750927291065 0.0812825526099552 0.9029612692962934 0.42196456343161853 ,-309.0034520745744 -126.17735801936134 666.0214198113651 ,0.029986143112182617
1,3,1,"tensor(0.66543, device='cuda:0')",-0.13964592877332652 0.09328955949751304 -0.9857971762313964 -0.6037216791119748 0.7810885267722439 0.1594391655616127 0.7848688736007134 0.6174121568559577 -0.05275490327184429 ,780.9461117885098 -974.1974153212371 2658.914995356995 ,0.029986143112182617
5,3,5,"tensor(0.51684, device='cuda:0')",-0.3611606500907133 -0.626220798646741 0.6909489823194556 0.06867074919882733 0.7210886182501743 0.689431311179385 -0.9299716732409246 0.29644344481248386 -0.21742578273328747 ,181.794455585065 -32.14561312138854 467.00712965358963 ,0.029986143112182617
5,4,5,"tensor(0.95652, device='cuda:0')",-0.673614104478157 0.497671144805127 -0.5464132775440627 -0.6895219596680092 -0.15699842788955623 0.7070438181441062 0.2660892808507679 0.8530386423067611 0.4489115384435547 ,38.133402346068735 -151.6531714944471 491.3233746061123 ,0.008549928665161133
1,5,1,"tensor(0.97153, device='cuda:0')",0.9346444534043401 -0.19280151995850983 0.29877637058875783 -0.34918485611136474 -0.6563402413214743 0.6687955022909128 0.06715416579027639 -0.7294141906514825 -0.6807681371019466 ,246.02319147239453 -153.30721897951705 573.2022181169925 ,0.3431401252746582
