scene_id,im_id,obj_id,score,R,t,time
1,0,1,"tensor(0.94423, device='cuda:0')",0.9775565814295487 -0.2034291399185434 0.054769655246090745 0.00873080846567095 -0.22063198116648475 -0.9753180516478138 0.21049204993849457 0.9539067637450495 -0.21390414440617236 ,-166.61930626380837 -183.9148952256565 624.2051183355368 ,0.8407983779907227
3,0,3,"tensor(0.78371, device='cuda:0')",-0.00886516640798013 0.9077396333551788 0.41944030190333914 -0.9461246722132306 0.12816129487256753 -0.2973596931764521 -0.32368119107227367 -0.39947896131435034 0.8576986918570192 ,331.26375321431715 -201.428356145631 646.7482149099651 ,0.8407983779907227
1,0,1,"tensor(0.63399, device='cuda:0')",0.005064784780342335 -0.4420802987649394 0.8969611794269754 0.993733356704816 0.10238396117015694 0.04485019807410632 -0.11166182752985725 0.8911130870652779 0.43982849195303697 ,-469.9249887133838 24.402956089840806 955.2526607623172 ,0.8407983779907227
1,1,1,"tensor(0.96509, device='cuda:0')",0.6742590502452686 0.39392801695587754 0.6246562659731818 -0.718689463163165 0.15543876176435606 0.6777346434109782 0.1698828675899677 -0.905902593438375 0.38791790690948497 ,74.85848494132775 125.40901300832346 480.03424100365623 ,0.33101677894592285
4,1,4,"tensor(0.91647, device='cuda:0')",-0.2931769100268417 0.644390161901667 -0.706263844941433 -0.9560423064220981 -0.19333928153968735 0.22046095015860012 0.005514323007261915 0.7398521754094265 0.6727468697687939 ,122.81940924051585 -157.09837186398798 471.5452682497872 ,0.33101677894592285
1,2,1,"tensor(0.95967, device='cuda:0')",-0.04257690543590983 -0.025136997273645358 0.9987769212850116 0.9941406721729311 0.09834835981702966 0.044854476397040044 -0.09935557888238662 0.9948345246770263 0.02080234255032443 ,-9.895781581742227 9.754885789692999 453.97498319189384 ,0.006891489028930664
1,3,1,"tensor(0.97214, device='cuda:0')",0.7409893459611203 0.4734246895213101 0.4762392807442098 0.28726725662604524 -0.8645085175512711 0.41243489953185275 0.6069697788544804 -0.16880191477869783 -0.7765910127759583 ,62.86279101073339 -58.333940959174626 280.23173042317023 ,0.013224363327026367
4,3,4,"tensor(0.95619, device='cuda:0')",0.30786823896502663 0.4311518666115112 0.8481304235516982 0.4629057916754883 0.710925805131896 -0.529436235660967 -0.8312252254773448 0.5556010866754807 0.019288779514584353 ,-92.67475624145462 90.76567125158032 295.81846331515555 ,0.013224363327026367
1,4,1,"tensor(0.95835, device='cuda:0')",0.7190365958443776 -0.3427359370234161 -0.6045812197787906 -0.6534574065071437 -0.6295872186303542 -0.42025391374531224 -0.23660048968141822 0.6972460194292799 -0.676659586995217 ,181.56431673628276 47.45626409488334 404.5208682802706 ,0.01307225227355957
1,4,1,"tensor(0.89918, device='cuda:0')",0.9439763241576267 -0.3229646844820209 -0.06784181606711347 0.0 0.2055730499158922 -0.9786417736578987 0.33001318069109814 0.9238146641646833 0.19405609200547622 ,-169.86738531503303 37.14807720076327 484.4699488961161 ,0.01307225227355957
1,5,1,"tensor(0.97728, device='cuda:0')",-0.04577485431849711 -0.22669920234205632 0.9728885518750828 0.9989516539219218 -0.009894885297258474 0.04469546253939917 -0.0005058050781712054 0.9739145562637562 0.22691448005535786 ,-80.43935980107707 -30.47558492430164 349.7375761902452 ,0.017981767654418945
1,5,1,"tensor(0.96755, device='cuda:0')",0.5793139791580586 -0.6524950419835711 -0.4885135962682251 0.4546192120593414 0.7560988711925153 -0.4707821884990425 0.6765476225504012 0.050643036720383755 0.7346554275666504 ,224.3475047283777 140.3417598309834 533.4027418768301 ,0.017981767654418945
1,5,1,"tensor(0.95661, device='cuda:0')",0.004595835315023104 -0.4665695133613369 0.8844725928481462 0.9944821048736965 0.09483216058312205 0.04485760141959102 -0.1048056362212411 0.879386007689969 0.4644308647100865 ,-280.0042397632142 9.553429517677536 532.1178114494568 ,0.017981767654418945
1,6,1,"tensor(0.97050, device='cuda:0')",-0.27546353296465753 -0.8870682395840273 -0.3704453810319735 0.7519293527532603 0.04126599108791734 -0.6579508845252776 0.5989341286608172 -0.4597902307583611 0.6556453715420258 ,-128.33793489931338 -105.56161114118407 433.96766653006597 ,0.017483234405517578
1,6,1,"tensor(0.95692, device='cuda:0')",-0.043916005252603155 -0.00980493185638874 0.9989871109248332 0.9908605047564183 0.1272310770341878 0.04480751221141939 -0.12754154067012544 0.9918246399177689 0.004127839080995885 ,-3.919151817925922 30.93713099134836 611.4424254969167 ,0.017483234405517578
1,6,1,"tensor(0.65267, device='cuda:0')",0.09446692921330098 -0.4222297083791379 0.9015531446604116 0.9510413304356949 0.3059668147755447 0.043642823685119674 -0.29427264074003223 0.8532914986205917 0.43046164903939144 ,-1055.275591808681 498.89891943059934 2093.6216600436496 ,0.017483234405517578
1,7,1,"tensor(0.96682, device='cuda:0')",0.9702325764928488 -0.21227935818573737 -0.11655994852563954 0.0 0.48130455969762714 -0.8765534329487695 0.24217503486538067 0.8504606956835362 0.46697736303318493 ,-142.18295623671438 206.8482663856867 530.7484113881868 ,0.018747329711914062
3,7,3,"tensor(0.74096, device='cuda:0')",-0.25269343170142344 0.8632718041665571 0.43692999634492424 -0.8931700110590802 -0.3817591837327442 0.23771255116302006 0.3720125816685245 -0.3301843693555561 0.8675165250953972 ,367.99272778986557 173.68297297507135 709.6993598733959 ,0.018747329711914062
3,7,3,"tensor(0.61696, device='cuda:0')",-0.45228534488017 0.8842408834340016 -0.11643035201562335 0.2822478831331092 0.018071921429830426 -0.9591712767398285 -0.8460343369352714 -0.4666813320882788 -0.2577487827455356 ,174.87239085349952 -94.75145123774662 375.3508132927749 ,0.018747329711914062
1,8,1,"tensor(0.98245, device='cuda:0')",-0.6456124169028474 0.5650331311602044 -0.5137335572377568 0.6207921002652366 0.7801008170398387 0.07784525356149051 0.4447491151077658 -0.2686638716781093 -0.8544108781293621 ,-38.794523423399916 26.336041038452763 341.38894777917176 ,0.3324546813964844
4,8,4,"tensor(0.94620, device='cuda:0')",0.7125601605387297 0.7014526189311762 -0.01490774991787841 0.5617844722856429 -0.5576940225643998 0.6110446660389736 0.42030491825787825 -0.4437810277496471 -0.7914557316096114 ,216.41938841082742 32.11813665659634 468.99340604034177 ,0.3324546813964844
5,8,5,"tensor(0.69893, device='cuda:0')",0.10571736887757648 0.98792245186853 0.11328312765665727 0.9934747841082164 -0.10983491892151692 0.030726925108715886 0.04279826233312812 0.10929556111560934 -0.9930875032250123 ,-355.42006804409425 89.9856265616295 672.2116010783398 ,0.3324546813964844
1,9,1,"tensor(0.96694, device='cuda:0')",-0.07342260804027664 -0.12767338550425997 0.9890948525103366 0.9727034483977013 -0.22807700451453705 0.0427654239648836 0.22012978468118363 0.96523592279067 0.14093435085407402 ,-62.02310698372581 -145.73787541297034 459.50466302442106 ,0.012663602828979492
4,9,4,"tensor(0.93868, device='cuda:0')",-0.23233459354764746 0.7213741800076731 0.6524108590905784 0.42740271248923395 0.6782543321249165 -0.5977440776039763 -0.8736976353395347 0.13996554351711135 -0.46589922583115007 ,-202.89492080934556 65.27356250894721 541.5240763308564 ,0.012663602828979492
1,10,1,"tensor(0.96317, device='cuda:0')",-0.5125872641879408 -0.258279838349063 0.8188686229760572 -0.8584886219856998 0.1365441550781049 -0.4943207254759816 0.015861352824291103 -0.9563719040291743 -0.29172109740331614 ,265.48570335932453 -105.14860953525385 524.6039594559329 ,0.01688361167907715
5,10,5,"tensor(0.93789, device='cuda:0')",-0.17181624209006627 -0.8420855744515489 0.5112446227146583 -0.7848809743234032 -0.19661373032792281 -0.5876264946304621 0.595349506675863 -0.502229953653846 -0.6271555138509607 ,-151.17793192079526 60.09660678037348 453.7455474336315 ,0.01688361167907715
3,10,3,"tensor(0.82529, device='cuda:0')",-0.4203314854667496 -0.9032023515792478 -0.0868732089140978 0.8643734084895343 -0.36945092510884514 -0.34112259472571343 0.2760073423325917 -0.2184754586628332 0.9359959513483829 ,-33.60808777623538 -123.52145414759534 340.3834660472125 ,0.01688361167907715
1,11,1,"tensor(0.96788, device='cuda:0')",-0.013005654206547361 0.1527735532132559 0.988175639447389 0.979661945592827 -0.19595218289107696 0.04318812773782155 0.20023317736063673 0.9686397593836515 -0.1471179500443281 ,87.04372547151486 -146.11916015335743 519.3636482402381 ,0.023325204849243164
